Title,Maximum Resolution (EN),Framerate in 4K mode (EN),HDR/SDR (EN),Cross-platform (EN),ID,Chris' Comments Box
Watch_Dogs 2,,30,SDR,None,e6005e58d6d3458abd01bcf68e264ccercp1,Performance/Quality toggle | 60FPS in 1080p mode
Watch Dogs: Legion,2304x1296,30,HDR,None,deb490c166544813bf2ab73f4c6e2aa0rcp1,Pixel Count | 30FPS in 1080p mode
Wave Break,,30,HDR,None,3e7b24085e704c10ab03f93a19947c14rcp1,60FPS in 1080p mode
Welcome to Elk,1920x1080,60,SDR,None,9fb7a46ff38a4c1d842e9ddd35b24d00rcp1,Pixel Count | Not compatible with 4K mode
West of Loathing,3840x2160,60,SDR,None,0a60fff637b445a797623d0c69433a9crcp1,Pixel Count | Specs confirmed by devs/pubs
Windbound,3840x2160,60,HDR,None,657210fe20ad402b85bda8f816b80d98rcp1,Pixel Count
Wolfenstein: Youngblood,2560x1440,60,SDR,None,4884bd9bd7864cf28deef05ef4b69e70rcp1,Pixel Count
WWE 2K Battlegrounds,2560x1440,60,SDR,"PC,Xbox,PlayStation,Nintendo Switch,No Cross-platform Buddy System",f28e66bbd0984c77ac6a54e8cc3007bdrcp1,Pixel Count
Ys IX: Monstrum Nox,,,,None,b2c9b37fb3eb4089ad91f30b4e30ce92rcp1,
Ys VIII: Lacrimosa of DANA,3840x2160,60,SDR,None,7ced0b517b144dd98529ceffab963791rcp1,Pixel Count
Zombie Army 4: Dead War,2560x1440,60,HDR,None,cba537cccfe3470b8784f88660ea5f09rcp1,Pixel Count
GRIME,1920x1080,60,SDR,None,d7a58e7a34c843bc91106ef9be366b32rcp1,Pixel Count | Not compatible with 4K mode
Tom Clancy's Rainbow Six Siege,3840x2160,60,SDR,"PC,No Cross-platform Buddy System",ab3353cfcd1f4a938e40b0ba32c72b64rcp1,Pixel Count
RAINBOW SIX: EXTRACTION,,,,,e219615d926c4e6e92fae3b567fac94ercp1,
Riders Republic,,,,,a173ab7957e243d5a2a5668c6edd94b6rcp1,
Just Dance 2022,,,,,#ERROR!,
Madden NFL 22,,,,,451f31e0ce9e4ac4b928f4f6a9d2b3d0rcp1,
Hello Engineer - Early Access,2560x1440,60,HDR,None,e85d550899de407e996a8a2d9dfbc7efrcp1,Pixel Count | No HDR settings
Life is Strange Remastered,,,,None,09011184da8446c1b6fafb8c010888bfrcp1,
Life is Strange: Before the Storm Remastered,,,,None,e8eaa376059b43d5a3007c13589e8a1drcp1,
Moonlighter,Pixel Art/Retro,60,SDR,None,703fbd4ee94441299adeaace6446f27arcp1,
Bloodstained: Ritual of the Night,1920x1080,60,SDR,None,df3c9859e1d14300941f62a693d140e2rcp1,Pixel Count
Streets of Rage 4,1920x1080,60,SDR,None,819f567cf2c64e5fb252c415a1184e53rcp1,Pixel Count | Not compatible with 4K mode
Threta Revelations,,,,,#ERROR!,
Control Ultimate Edition,2560x1440,30,SDR,None,2cdcb63bc3604360a157c4a4021eca35rcp1,Pixel Count | Performance/Quality toggle
Merek's Market,,,,,#ERROR!,
ONE PIECE World Seeker,,,,None,d7fce541196f4ec8b1bf36eef8b6f543rcp1,
DreamWorks Dragons: Dawn of New Riders,3840x2160,60,SDR,None,e15d4480e6e44c64b8fe79b3bfc57c9ercp1,Pixel Count
Ice Age: Scrat's Nutty Adventure,,,,None,28c8c1c35b8c450083c980f1dd44b64drcp1,
Gigantosaurus The Game,,,,None,106e912318b24f0394850cdeabf73b0arcp1,
PAW Patrol Mighty Pups Save Adventure Bay,3840x2160,60,SDR,None,ccf9e5615864445ba6a85cbd3557665frcp1,Pixel Count
PAW Patrol The Movie: Adventure City Calls,,,,None,2e00fb54c35e47b08e3d56e0d59cb2ffrcp1,
Young Souls,,,,None,39b2419557a4479792c267dffa77fbbfrcp1,
