Title,Image,Current State (EN),Release Date (EN),Maximum Resolution (EN),Pixel Count (EN),Framerate in 4K mode (EN),HDR/SDR (EN),Comments (EN),Cross-platform (EN),Developers (EN),Publishers,Price (GBP),Price (USD),Button to Store
Everspace,everspace.webp (https://dl.airtable.com/.attachments/d394704e2697a31d04492dc87c9efaf8/fa59ad96/everspace.webp),"Released,Currently Claimable with Pro",1.12.2020,1920x1080 (FHD),everspace_proof.png (https://dl.airtable.com/.attachments/6ab2bb90dca75e49c333a19291261320/eb879342/everspace_proof.png),60,SDR,"Pixel Count,Specs confirmed by devs/pubs,Not compatible with 4K mode",None,ROCKFISH Games,ROCKFISH Games,£29.99,$29.99,https://stadia.google.com/store/details/44752f1774ca4508a2c45e57121d7e8frcp1/sku/dfda545ac2e94885a13b1434d370d4b0
F1 2020,image.png (https://dl.airtable.com/.attachments/224d2470bc909aa2a6f03420bf847065/833c80d8/image.png),"Released,Previously Claimable with Pro",7.7.2020,3840x2160 (4K),f1_proof.png (https://dl.airtable.com/.attachments/d8e6db407feede4b87cb349ad2b33693/20547e89/f1_proof.png),60,HDR,"Pixel Count,Specs confirmed by devs/pubs",None,Codemasters,Codemasters,£54.99,$59.99,https://stadia.google.com/store/details/f3519f3dc3d74fbb8086520577b832e0rcp1/sku/60da786be741463fbbeb63ed5130bc11
Family Feud,family-feud.webp (https://dl.airtable.com/.attachments/1facbcae7d58aa5cc84fde242f3799ea/065545a1/family-feud.webp),Released,12.11.2020,,,60,SDR,,None,Snap Finger Click,Ubisoft,£15.99,$29.99,https://stadia.google.com/store/details/5ba98de70c8c4b64bf56ca9009d60e62rcp1/sku/3af579475c334c62985ac80b3dfed0bap
Far Cry 5,far-cry-5.webp (https://dl.airtable.com/.attachments/cac9bd938e5bf0ab1c60522e11880f1f/938679c0/far-cry-5.webp),Released,3.11.2020,3840x2160 (4K),farcry5_proof.png (https://dl.airtable.com/.attachments/657ace906a6eb6169845f6018a9cf1ed/600e24b8/farcry5_proof.png),30,HDR,"Pixel Count,Specs confirmed by devs/pubs,30FPS in 1080p mode",None,Ubisoft,Ubisoft,£39.99,$59.99,https://stadia.google.com/store/details/7d9beb13648d44839b9aeea7555c37c0rcp1/sku/b446084511c54da8a9b3381be38255c7p
Far Cry 6,far-cry-6.webp (https://dl.airtable.com/.attachments/1bb61f412f5d614d86fdffe4c41cf2ca/e0d80b46/far-cry-6.webp),Pre-order,7.10.2021,,,,,,None,Ubisoft,Ubisoft,,,https://stadia.google.com/store/details/5eb3896383464e2897b3d4b56a5b3a1drcp1/sku/42af7e07fe9241519c6dce7597dde5f0p
Far Cry New Dawn,far-cry-new-dawn.webp (https://dl.airtable.com/.attachments/96a6e62fe0347ba0429904d705c46c18/b47986d0/far-cry-new-dawn.webp),Released,3.11.2020,3840x2160 (4K),fcnd_proof.png (https://dl.airtable.com/.attachments/80325a069780c728c88c70b6aeb25656/c9ea62a6/fcnd_proof.png),30,HDR,"Pixel Count,Specs confirmed by devs/pubs,30FPS in 1080p mode",None,Ubisoft,Ubisoft,£39.99,$39.99,https://stadia.google.com/store/details/a2a4ff75e249404a975db7ae5f77e536rcp1/sku/f500f7d58be94fa389e1cdef3bf1118ep
Farming Simulator 19,farming-simulator-19.webp (https://dl.airtable.com/.attachments/3547ce85df8f67b4ec4bf5e2a539f1db/9e905427/farming-simulator-19.webp),"Released,Previously Claimable with Pro",19.11.2019,3360x1890 (3.5K),fs_proof.png (https://dl.airtable.com/.attachments/daff7096bceecbdacdc37a59c33f791d/ebd3a79d/fs_proof.png),60,HDR,"Pixel Count,Specs confirmed by devs/pubs",Partial Cross play,GIANTS Software,GIANTS Software,£29.99,$29.99,https://stadia.google.com/store/details/ebf235012b054269af70eee901bc85cfrcp1/sku/c50094b71d054fc28f3116245d9dbc9a
FIFA 21,fifa-21.webp (https://dl.airtable.com/.attachments/aede337ba3138af7bb09819905bdab22/0bcc69dc/fifa-21.webp),Released,17.3.2021,3840x2160 (4K),fifa_proof2.png (https://dl.airtable.com/.attachments/c427fa5ebb42330d349f7b1be6ac5089/256c99b6/fifa_proof2.png),60,HDR,Pixel Count,None,EA Vancouver,Electronic Arts Inc,£59.99,,https://stadia.google.com/store/details/2c4539adc1e641c0bb2cd0e4032eec75rcp1/sku/700cbb2e56894745816e73bdbd86f809
Figment,figment.webp (https://dl.airtable.com/.attachments/d68d38a3b15ff2034134be7210dbc7aa/7638fe53/figment.webp),"Released,Currently Claimable with Pro",8.12.2020,1920x1080 (FHD),figment_proof.png (https://dl.airtable.com/.attachments/a441dad7210198bbf7bd5c13fdb91e4f/68eb0775/figment_proof.png),60,SDR,"Pixel Count,Specs confirmed by devs/pubs,Not compatible with 4K mode",None,Bedtime Digital Games,Bedtime Digital Games,£19.99,$19.99,https://stadia.google.com/store/details/7183914d07034cb1bbb8a511779bc1efrcp1/sku/dfc0719b3a5b48ab8213033dc72bfdfcp
Final Fantasy XV,final-fantasy-xv.webp (https://dl.airtable.com/.attachments/eeb0d4a3dcad620b5cd92ec4887167bd/93b316bc/final-fantasy-xv.webp),Released,19.11.2019,1920x1080 (FHD),FFXV_proof.png (https://dl.airtable.com/.attachments/b98628bc5d48339cbd5fb24603677914/5df8a783/FFXV_proof.png),30,HDR,"Pixel Count,No HDR settings,30FPS in 1080p mode",None,Square Enix Japan,Square Enix,£34.99,$39.99,https://stadia.google.com/store/details/a447622dbe084c3e9ace4f913a939afarcp1/sku/1611bf48ac784869bcbd1ce85bc71add
Floor Kids,image.png (https://dl.airtable.com/.attachments/d130db3f7d1cfaa8987fded6af8804fb/5e957684/image.png),"Released,Currently Claimable with Pro",14.4.2021,1920x1080 (FHD),floor_kids_proof.png (https://dl.airtable.com/.attachments/a0debf37778740adda81f6a6df6bca8d/01c15428/floor_kids_proof.png),60,HDR,"Pixel Count,Not compatible with 4K mode,No HDR settings",None,MERJ Media,MERJ Media,,$19.99,https://stadia.google.com/store/details/e184f2da322a41c9a31b3ef2c473f95arcp1/sku/c78b6a8ef7734bbf8de9c068eeadd049p
Football Manager 2020,football-manager-2020.webp (https://dl.airtable.com/.attachments/2d037fb38761e46b7ded2901cff3a155/9d035332/football-manager-2020.webp),Released,19.11.2019,1920x1080 (FHD),fm20_proof.png (https://dl.airtable.com/.attachments/5c6a9e11c722b13a19d18ecf427d79d2/691a185a/fm20_proof.png),60,HDR,Pixel Count,None,Sports Interactive,SEGA Europe,£39.99,$49.99,https://stadia.google.com/store/details/8a3cc52ad2334b1e91ded77bc43644e0rcp1/sku/32a0791a88474f08ad7a687846b786f2
FORECLOSED,foreclosed.webp (https://dl.airtable.com/.attachments/308932643557547e192dc80e2f101789/edf24d2c/foreclosed.webp),"""Announced, No Pre-order""",12.8.2021,,,,,,,,,,,
Get Packed,get-packed.webp (https://dl.airtable.com/.attachments/e601f4252aaaad23ce421e0390497e47/8a7ba6e4/get-packed.webp),"Released,Previously Claimable with Pro",28.4.2020,1920x1080 (FHD),getpacked_proof.png (https://dl.airtable.com/.attachments/d496dc90a397e9be294e64a628a6fe66/7528bf3c/getpacked_proof.png),60,SDR,Pixel Count,None,Coatsink,Coatsink,£19.99,$19.99,https://stadia.google.com/store/details/73182869b2a644bdbef46984b96e1721rcp1/sku/a6ffc113bea9495b84581796893ebf50
